Time (s),Pitot Status Code,Differential Pressure,Temperature,Accel1 x,Accel1 y,Accel1 z,Gyro1 x,Gyro1 y,Gyro1 z,Mag1 x,Mag1 y,Mag1 z,Accel2 x,Accel2 y,Accel2 z,Gyro2 x,Gyro2 y,Gyro2 z,Mag2 x,Mag2 y,Ma2 z,Accel3 x,Accel3 y,Accel3 z,Gyro3 x,Gyro3 y,Gyro3 z,Mag3 x,Mag3 y,Mag3 z
18.3469,Error ,1.25,-50,-1.72168,0.269043,0,296.875,210.938,0,86,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.3519,Error ,1.25,-50,-1.71924,0.267578,0,296.875,210.938,0,86,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.3569,Error ,1.25,-50,-1.72217,0.268555,0,320.313,218.75,0,77,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.3619,Error ,1.25,-50,-1.72119,0.264648,0,320.313,210.938,0,77,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.3669,Error ,1.25,-50,-1.72021,0.268555,0,312.5,203.125,0,73,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.3719,Error ,1.25,-50,-1.72314,0.266602,0,281.25,210.938,0,73,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.3769,Error ,1.25,-50,-1.72314,0.267578,0,328.125,218.75,0,88,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.3819,Error ,1.25,-50,-1.71729,0.266602,0,320.313,218.75,0,88,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.3869,Error ,1.25,-50,-1.7207,0.266602,0,312.5,203.125,0,87,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.3919,Error ,1.25,-50,-1.71826,0.264648,0,335.938,179.688,0,87,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.3969,Error ,1.25,-50,-1.71973,0.268555,0,289.063,226.563,0,84,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.4019,Error ,1.25,-50,-1.72021,0.264648,0,296.875,187.5,0,84,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.4069,Error ,1.25,-50,-1.72168,0.265625,0,312.5,187.5,0,88,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.4119,Error ,1.25,-50,-1.71924,0.26416,0,343.75,226.563,0,88,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.4169,Error ,1.25,-50,-1.72217,0.266113,0,320.313,234.375,0,83,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.4219,Error ,1.25,-50,-1.72559,0.265625,0,312.5,210.938,0,83,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.4269,Error ,1.25,-50,-1.71777,0.265625,0,335.938,218.75,0,92,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.4319,Error ,1.25,-50,-1.71973,0.266602,0,273.438,195.313,0,92,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.4369,Error ,1.25,-50,-1.72266,0.26709,0,304.688,234.375,0,81,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.4419,Error ,1.25,-50,-1.72168,0.270508,0,343.75,242.188,0,81,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.4469,Error ,1.25,-50,-1.72314,0.267578,0,312.5,242.188,0,85,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.4519,Error ,1.25,-50,-1.71875,0.265625,0,320.313,218.75,0,85,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.4569,Error ,1.25,-50,-1.71875,0.262207,0,312.5,234.375,0,-172,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.4619,Error ,1.25,-50,-1.72021,0.26416,0,304.688,210.938,0,-172,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.4669,Error ,1.25,-50,-1.7207,0.268066,0,320.313,210.938,0,-172,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
